id,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
i8978,Entire home/apt,81,1,59,9/3/2023,3.5,77,361,43,
i8979,Private room,55,2,37,8/18/2023,2.16,1,169,24,
i8980,Entire home/apt,150,30,0,,,1,218,0,
i8981,Entire home/apt,133,6,1,8/2/2023,0.73,1,0,1,
i8982,Entire home/apt,602,1,0,,,14,365,0,
i8983,Entire home/apt,796,1,0,,,14,365,0,
i8984,Entire home/apt,268,3,16,8/24/2023,1,1,66,13,
i8985,Entire home/apt,225,2,1,11/18/2022,0.1,4,57,1,
i8986,Entire home/apt,71,8,36,8/26/2023,2.25,9,63,27,
i8987,Entire home/apt,155,2,16,8/1/2023,1.49,1,144,16,
i8988,Entire home/apt,258,2,1,12/9/2022,0.11,4,36,1,
i8989,Entire home/apt,145,29,16,6/19/2023,0.96,18,4,9,
i8990,Private room,50,1,3,9/20/2022,0.17,12,0,1,
i8991,Entire home/apt,360,3,11,5/8/2023,0.64,1,170,4,
i8992,Entire home/apt,159,2,25,7/23/2023,1.45,1,150,23,
i8993,Entire home/apt,797,2,1,11/1/2022,0.1,44,163,1,
i8994,Entire home/apt,155,1,17,9/4/2023,1.1,1,78,11,
i8995,Entire home/apt,550,1,0,,,14,365,0,
i8996,Entire home/apt,350,2,4,7/25/2022,0.28,1,0,0,
i8997,Entire home/apt,200,3,4,6/1/2022,0.24,1,132,0,
i8998,Entire home/apt,233,2,9,8/27/2023,0.53,1,331,6,
i8999,Entire home/apt,120,30,0,,,1,0,0,
i9000,Entire home/apt,73,4,19,6/24/2023,1.11,1,314,11,
i9001,Entire home/apt,176,2,4,2/20/2023,0.29,4,58,2,
i9002,Entire home/apt,2086,1,0,,,43,142,0,
i9003,Entire home/apt,3302,1,0,,,43,33,0,
i9004,Entire home/apt,1775,1,0,,,43,123,0,
i9005,Entire home/apt,163,4,36,7/24/2023,2.11,1,234,24,
i9006,Entire home/apt,116,2,27,7/16/2023,1.86,2,128,18,
i9007,Entire home/apt,1500,3,5,5/9/2023,0.41,1,335,4,
i9008,Entire home/apt,241,2,38,8/20/2023,2.23,1,172,22,
i9009,Entire home/apt,204,3,3,6/27/2022,0.19,44,0,0,
i9010,Entire home/apt,166,2,12,8/13/2023,0.7,2,151,7,
i9011,Entire home/apt,133,3,5,11/6/2022,0.29,2,153,1,
i9012,Entire home/apt,106,2,4,8/10/2023,0.37,4,80,4,
i9013,Entire home/apt,429,1,52,8/27/2023,3.13,13,336,40,
i9014,Entire home/apt,146,2,57,8/27/2023,3.34,25,321,36,
i9015,Entire home/apt,125,3,7,4/17/2023,0.7,2,159,7,
i9016,Entire home/apt,106,2,24,8/10/2023,2.11,5,122,24,
i9017,Entire home/apt,152,3,26,9/2/2023,1.51,1,119,17,
i9018,Entire home/apt,179,7,8,6/20/2023,0.47,2,8,4,
i9019,Entire home/apt,100,5,0,,,1,0,0,
i9020,Entire home/apt,425,2,7,7/31/2023,0.56,2,0,6,
i9021,Entire home/apt,1214,2,6,9/4/2023,1.11,1,238,6,
i9022,Entire home/apt,147,30,53,8/19/2023,3.11,1,247,35,
i9023,Entire home/apt,110,30,7,7/29/2023,0.46,1,298,6,
i9024,Entire home/apt,170,2,5,7/17/2022,0.32,1,313,0,
i9025,Entire home/apt,110,1,104,9/8/2023,6.13,1,246,76,
i9026,Entire home/apt,90,30,0,,,1,164,0,
i9027,Entire home/apt,89,30,7,6/30/2023,0.52,2,271,5,
i9028,Entire home/apt,141,2,59,8/26/2023,3.55,1,131,44,
i9029,Entire home/apt,149,1,48,8/29/2023,2.89,2,176,23,
i9030,Entire home/apt,136,31,0,,,136,329,0,
i9031,Entire home/apt,172,31,0,,,136,0,0,
i9032,Private room,43,4,5,10/29/2022,0.29,4,11,1,
i9033,Entire home/apt,150,2,62,9/3/2023,3.63,27,148,50,
i9034,Entire home/apt,362,2,5,6/5/2023,0.38,3,314,4,
i9035,Entire home/apt,115,1,4,6/18/2022,0.25,1,0,0,
i9036,Entire home/apt,107,1,66,9/6/2023,3.92,1,364,44,
i9037,Private room,61,7,0,,,3,169,0,
i9038,Entire home/apt,46,2,35,7/28/2023,2.24,49,71,23,
i9039,Entire home/apt,631,1,1,6/20/2022,0.07,78,356,0,
i9040,Entire home/apt,650,180,0,,,2,365,0,
i9041,Entire home/apt,140,2,0,,,2,66,0,
i9042,Entire home/apt,223,3,27,8/26/2023,2.71,6,128,27,
i9043,Entire home/apt,950,2,5,8/13/2023,0.36,3,140,4,
i9044,Private room,49,1,18,8/17/2023,1.06,2,42,6,
i9045,Entire home/apt,190,3,7,11/16/2022,0.49,1,159,6,
i9046,Entire home/apt,70,1,60,9/3/2023,3.52,77,348,42,
i9047,Entire home/apt,149,2,77,8/27/2023,4.58,3,111,55,
i9048,Entire home/apt,171,1,0,,,1,87,0,
i9049,Entire home/apt,157,30,3,3/31/2023,0.22,1,0,2,
i9050,Entire home/apt,72,1,44,9/2/2023,2.57,77,355,31,
i9051,Entire home/apt,228,2,40,8/23/2023,2.48,1,109,36,
i9052,Entire home/apt,145,2,43,5/13/2023,2.52,8,0,30,
i9053,Entire home/apt,150,2,2,4/17/2023,0.34,1,260,2,
i9054,Entire home/apt,118,30,0,,,1,303,0,
i9055,Entire home/apt,550,2,5,5/8/2023,0.38,1,64,3,
i9056,Entire home/apt,78,3,17,4/27/2023,1.06,11,0,10,
i9057,Entire home/apt,259,3,17,9/4/2023,1.96,1,244,17,
i9058,Private room,49,1,19,8/2/2023,1.13,2,43,8,
i9059,Entire home/apt,110,1,91,8/15/2023,5.41,1,50,56,
i9060,Entire home/apt,53,1,30,8/23/2023,1.76,10,359,17,
i9061,Entire home/apt,427,1,18,4/16/2023,1.08,78,231,8,
i9062,Private room,43,4,7,11/14/2022,0.47,4,10,5,
i9063,Entire home/apt,101,28,18,7/17/2023,1.19,1,89,12,
i9064,Entire home/apt,167,1,113,8/28/2023,6.82,2,339,82,
i9065,Entire home/apt,65,2,44,8/24/2023,2.78,11,321,37,
i9066,Entire home/apt,251,2,17,4/15/2023,1.09,3,311,10,
i9067,Entire home/apt,1079,2,62,9/4/2023,3.68,7,210,48,
